Company,Address,TIF ID,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Liberty Fastener Company ,2950 W Chicago,T-052,Kinzie Industrial Corridor,10/1/03,"$100,000.00 ","$50,000.00 ",Window Replacement
MRD Associates Inc,1420 W Hubbard,T-052,Kinzie Industrial Corridor,9/22/03,"$135,000.00 ","$50,000.00 ","Façade/Signs, aumins, roof, HVAC, Evn. Remediation/ Storage rack/ public way exterior enhancement"
Cotton Goods Mfg Co,259 N California,T-052,Kinzie Industrial Corridor,8/11/03,"$93,210.00 ","$39,272.00 ","Replace Roof, Windows/ Tuckpointing/ Brickwork/ Possible parking lot + HVAC"
Bernacki & Associates Inc,424 N Oakley Blvd,T-052,Kinzie Industrial Corridor,5/30/03,"$84,802.00 ","$42,401.00 ",Sidewalk Improvements / Façade / Lintels / HVAC / Electrical / Roof / Interior Buildout
Flat Enterprises Inc dba Alliance Paper & Food Service ,913 W Randolph,T-052,Kinzie Industrial Corridor,10/1/02,"$70,405.50 ","$34,884.00 ",Façade / Roof / Sign replacement / Window & Door Replacement
Goose Island Beer Co ,1800 W Fulton,T-052,Kinzie Industrial Corridor,5/28/02,"$95,000.00 ","$50,000.00 ",Concrete/ excavation/ brickyard/ door/ electrical/ plumbing
Building Blocks Inc,1621 W Carroll,T-052,Kinzie Industrial Corridor,2/25/02,"$38,633.40 ","$19,316.70 ",Tuckpointing/ Renovation of washroom
American Soda Fountain Inc,455 N Oakley Blvd,T-052,Kinzie Industrial Corridor,2/25/02,"$46,118.00 ","$19,061.00 ",Roof repair/ tuckpointing/ sign
Marco Lighting Components Inc ,457 N Leavitt,T-052,Kinzie Industrial Corridor,1/4/02,"$104,552.00 ","$50,000.00 ",Gutter-flashing. Roof / Tuckpointing / Electrical / Emergency lighting
Consolidated Chemical Works ,400 N Ashland,T-052,Kinzie Industrial Corridor,11/15/01,"$27,528.00 ","$13,764.00 ",Tuckpointing and roof repair / replacement.
Roger Berman Co ,832 W Fulton Market,T-052,Kinzie Industrial Corridor,10/2/01,"$98,336.70 ","$49,168.35 ",HVAC / Elevator renovate / tuckpointing.
Northern Greenhouses Inc ,1756 W Lake,T-052,Kinzie Industrial Corridor,2/8/01,"$125,000.00 ","$50,000.00 ",New Roof
Damen Lake Property LLC (Standard Equipment Co) ,2033 W Walnut,T-052,Kinzie Industrial Corridor,2/1/01,"$83,013.00 ","$41,506.50 ","Truck dock, Skylights, Roof"
Nobert Plating Co ,340 N Ashland,T-052,Kinzie,8/31/11,"$26,383.55 ","$13,191.78 ","façade, tuck-pointing, environmental remediation,"
See Spot Run Kennel Inc,2756 W Fulton,T-052,Kinzie,10/3/11,"$17,924.23 ","$13,443.70 ","parking lot, windows, brickwork, security, lighting, HVAC, wrought iron fence"
Chef On Call,177 N Ada,T-052,Kinzie,10/6/11,"$203,046.66 ","$150,000.00 ",Basement and first floor buildout
Sassafras Enterprises Inc ,1622 W Carroll,T-052,Kinzie,10/11/11,"$82,350.00 ","$41,175.00 ","windows, masonry"
1756 W Lake LLC,1756 W Lake,T-052,Kinzie,10/12/11,"$47,500.00 ","$23,210.00 ","Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building."
Active Roofing Company Inc ,855 W Erie ,T-053,Pilsen Industrial Corridor,3/29/11,"$303,738.21 ","$150,000.00 ","Paving, Fencing, Electrical, Graffitt Removal, Exterior Painting, Roofing, Gutters, Downspouts. 1st and 2nd Floor Carpentry, Plumbing, HVAC, Electrical Flooring, Phone/Data, Bathroom Partitions."
Jewelry Design Ltd,2210 S Halsted,T-053,Pilsen Industrial Corridor,10/29/10,"$30,596.45 ","$22,852.50 ","Rear porch, deck"
Jewelry Design Ltd,2210 S Halsted,T-053,Pilsen Industrial Corridor,10/24/08,"$94,289.00 ","$46,530.00 ","Façade, Tuckpointing, Flooring"
Ignotz Ristorante,2423 S Oakley,T-053,Pilsen Report,9/22/11,"$283,700.00 ","$141,850.00 ","Expand into adjacent lot, buildout, plumbing, electrical, drywall, tuck pointing, hvac, windows, doors"
CMJ Medical Enterprises,8507 S Stoney Island,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,3/29/11,"$7,500.00 ","$5,625.00 ",tuckpointing/masonry
Fashion Corner,1658 E 87th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2/18/11,"$37,700.00 ","$18,850.00 ","HVAC, doors, water heaters, plumbing, insulation, electrical, lighting, walls, ceiling"
Family Den Lounge & Restaurant,8940-44 S Stony Island,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,8/16/10,"$20,030.00 ","$10,015.00 ","paving, carpeting"
Stinston Dental Facility,1600 E 93rd ,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,7/26/10,"$51,788.00 ","$25,894.00 ","Update Office to ""Green Standards"""
Estee Bedding Co,945 E 93rd,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,6/30/10,"$8,925.00 ","$4,462.50 ",Replacing 11 windows
Fashion Corner,1658 E 87th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,3/12/10,"$89,528.32 ","$44,764.16 ","HVAC, doors, water heaters, plumbing, insulation, electrical, lighting, walls, ceiling"
Stinston Dental Facility,1600 E 93rd ,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,1/29/10,"$21,159.30 ","$10,579.65 ","Update Office to ""Green Standards"""
Stinston Dental Facility,1600 E 93rd ,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,12/15/09,"$37,502.00 ","$18,751.00 ","Update Office to ""Green Standards"""
Stinston Dental Facility,1600 E 93rd ,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,11/24/09,"$114,034.93 ","$57,017.47 ","Update Office to ""Green Standards"""
Cattlemens Custom Meats,1214 E 95th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,11/23/09,"$36,248.88 ","$18,124.44 ",two story freezer with alleyway to loading docks
Deon's Parfums Colonges & Accessories Inc,1654 E 87th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,11/5/09,"$8,532.00 ","$4,266.00 ","shelving, awning, door repair and electrical, interior buildout"
Sim Ellen Investments,8334-8338 S Stony Island,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,8/26/09,"$123,239.50 ","$61,619.75 ","Electrical, plumbing, HVAC, mechanical, flooring"
Cattlemens Custom Meats,1214 E 95th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,1/6/09,"$3,050.00 ","$1,525.00 ",Block up 3 brick openings used for trailers
Bertina Power-Stewart,8053-57 S Stony Island,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,12/5/08,"$3,000.00 ","$2,250.00 ",plumbing
Bertina Power-Stewart,8053-57 S Stony Island,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,10/24/08,"$63,000.00 ","$47,250.00 ","Roof, doors, electrical, HVAC"
State Farm Insurance ,1700 E 87th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,11/26/07,"$16,580.78 ","$6,559.60 ","Awning, signage, office buildout, electronic door system"
Fashion Corner,1658 E 87th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2/16/07,"$47,582.50 ","$23,791.25 ",HVAC
Fashion Corner,1658 E 87th,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2/12/07,"$27,450.00 ","$13,725.00 ",Replacement and/or repair of roof
WIA Communications Inc,8130 S Stony Island,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,1/25/07,"$75,000.00 ","$43,390.00 ","Parking lot/sidewalk, heating & cooling, lanscaping, outdoor signage"
Jeune Nazon,1750 E 87th ,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,3/17/05,"$30,000.00 ","$14,433.15 ","Parking, interior, exterior, HVAC, Roof, storefront"
Jeune Nazon,1750 E 87th ,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,11/2/04,"$47,422.47 ","$35,566.85 ","Parking, interior, exterior, HVAC, Roof, storefront"
Brian Farquhar,4030 S Cottage Grove,T-055,43rd/Cottage Grove,8/11/11,"$261,733.00 ","$52,455.00 ",Complete Renovation
North Kenwood Day Care Center,516 E 43rd,T-055,43rd/Cottage Grove,7/20/11,"$108,017.00 ","$81,012.75 ","façade, tuckpointing, HVAC, roof, canopy, paint fence."
Kenwood Oakland Community Organization Rod Wilson,4242 S Cottage Grove,T-055,43rd/Cottage Grove,6/30/11,"$22,810.00 ","$11,405.00 ",
Kenwood Oakland Community Organization Rod Wilson,4242 S Cottage Grove,T-055,43rd/Cottage Grove,6/24/11,"$51,580.00 ","$25,790.00 ",Complete Interior Renovation
Amour Salon,646-50 E 43rd,T-055,43rd/Cottage Grove,5/31/11,"$4,260.00 ","$2,310.31 ","complete renovation, windows, tuckpointing"
Amour Salon,646-50 E 43rd,T-055,43rd/Cottage Grove,4/12/11,"$6,674.13 ","$3,337.07 ","hvac, fixtures, ceiling"
Nikki Iran Tyler,526 E 43rd ,T-055,43rd/Cottage Grove,3/29/11,"$273,000.00 ","$150,000.00 ",Complete build out
New Age Chicago Furniture Co ,4236-40 S Cottage Grove,T-055,43rd/Cottage Grove,1/25/11,"$46,000.00 ","$23,000.00 ","ceilings, roof, dry wall, floors"
Sensual Steps Inc ,4518 S Cottage,T-055,43rd/Cottage Grove,5/19/10,"$12,617.50 ","$6,308.75 ",signage
Sensual Steps Inc ,4518 S Cottage,T-055,43rd/Cottage Grove,4/19/10,"$28,205.00 ","$14,102.50 ","Roofing, LBP, mossaic glass, lighting"
Brian Farquhar,4030 S Cottage Grove,T-055,43rd/Cottage Grove,11/20/09,"$130,060.00 ","$97,545.00 ","roof, gutters, copper bay, tuckpointing"
New Age Chicago Furniture Co ,4236-40 S Cottage Grove,T-055,43rd/Cottage Grove,11/20/09,"$31,575.00 ","$7,893.75 ","roof, windows,"
Kenwood Oakland Community Organization Rod Wilson,4242 S Cottage Grove,T-055,43rd/Cottage Grove,10/7/11,"$155,845.05 ","$77,922.53 ","carpentry, HVAC, electrical, plumbing, roofing, cutting, patching, and repairs"
Selvam Ltd Medical Clinic,946 W 79th,T-056,79th Street Corridor,5/12/11,"$25,000.00 ","$18,750.00 ","flooring, windows, cabinets, parking lot, insulations"
Prepare To Win,4445 N Milwaukee,T-057,Jefferson Park Business District,3/29/11,"$143,443.00 ","$50,000.00 ","HVAC, Façade, ADA compliance"
Lysinski Ltd -Dental,4418 N Milwaukee,T-057,Jefferson Park Business District,3/29/11,"$106,700.00 ","$53,350.00 ",Interior Renovations
State Farm Insurance ,4465 N Milwaukee,T-057,Jefferson Park Business District,2/17/11,"$8,212.00 ","$4,106.00 ","HVAC, door"
Joseph P Minogue,4956-58 N Milwaukee,T-057,Jefferson Park Business District,2/17/11,"$30,357.29 ","$22,767.97 ","façade, brickwork, chimney"
Dr Cesar L Lau,4968 N Milwaukee Unit 1S,T-057,Jefferson Park Business District,4/22/10,"$3,135.00 ","$1,724.25 ","Awning, glass on door, lettering on door, chair rails"
Law Offices of Barbara Demos,4750 N Milwaukee,T-057,Jefferson Park Business District,12/3/09,"$24,543.00 ","$12,271.50 ",ROOF
Lysinski Ltd -Dental,4418 N Milwaukee,T-057,Jefferson Park Business District,11/18/09,"$51,600.00 ","$25,800.00 ","façade, and windows"
Paul Tsakiris,4425 N milwaukee,T-057,Jefferson Park Business District,7/10/09,"$75,000.00 ","$37,500.00 ",HVAC
Paul Tsakiris,4425 N milwaukee,T-057,Jefferson Park Business District,5/22/09,"$85,000.00 ","$42,500.00 ",ROOF
Paul Tsakiris,4425 N milwaukee,T-057,Jefferson Park Business District,4/3/09,"$136,230.00 ","$68,115.00 ","picture window, paving"
Seward & Szczygiel P C ,4756 N Milwaukee,T-057,Jefferson Park Business District,3/17/09,"$309,500.00 ","$136,000.00 ","Roofing, HVAC, Façade, Interior, bathrooms"
Namita Handa ,4941-43 N Milwaukee,T-057,Jefferson Park Business District,11/26/08,"$20,400.00 ","$10,400.00 ",Roofing & plumbing
Namita Handa ,4941-43 N Milwaukee,T-057,Jefferson Park Business District,6/24/08,"$4,900.00 ","$2,250.00 ",Roofing & plumbing
The Windsor Tavern,4530 N Milwaukee,T-057,Jefferson Park Business District,1/28/08,"$32,535.00 ","$16,267.50 ",basement floor
The Windsor Tavern,4530 N Milwaukee,T-057,Jefferson Park Business District,2/20/07,"$37,245.00 ","$11,742.50 ","windows, sidewalk, signage"
The Windsor Tavern,4530 N Milwaukee,T-057,Jefferson Park Business District,1/26/07,"$43,980.00 ","$21,990.00 ","Repair masonry, fence, replace entry, parking lot"
Joe Minogue,4956-58 N Milwaukee,T-057,Jefferson Park Business District,1/9/07,"$219,109.50 ","$50,000.00 ",Renovation work
Ann Ristic,4526 N Milwaukee,T-057,Jefferson Park Business District,1/14/05,"$64,629.00 ","$32,314.50 ",Renovations
The Windsor Tavern,4530 N Milwaukee,T-057,Jefferson Park Business District,12/28/04,"$50,000.00 ","$21,712.23 ",Kitchen Renovations
State Farm Insurance ,4465 N Milwaukee,T-057,Jefferson Park Business District,9/14/04,"$9,980.00 ","$4,990.00 ",Sign
Michael Filmowicz,4806 N Milwaukee,T-057,Jefferson Park Business District,9/7/04,"$400,000.00 ","$50,000.00 ",Complete renovation - Floor 1 + 2
RPN Sales,4451 N Milwaukee,T-057,Jefferson Park Business District,5/10/04,"$120,000.00 ","$50,000.00 ",Interior Renovations
The Windsor Tavern,4530 N Milwaukee,T-057,Jefferson Park Business District,3/2/04,"$53,073.00 ","$26,536.50 ",Façade Renovation / Window and Door Replacement /
State Farm Insurance ,4465 N Milwaukee,T-057,Jefferson Park Business District,2/24/04,"$10,000.00 ","$4,275.00 ",Sign
AA US Carpet,4651 N Milwaukee,T-057,Jefferson Park Business District,5/28/03,"$75,000.00 ","$24,486.68 ",Tuckpoint-Masonry / Electrical Rehab / Interior Renovation / Roof Renovation / Window and Door Replacement
Gleason & Shreffler ,4653 N Milwaukee,T-057,Jefferson Park Business District,3/14/03,"$100,000.00 ","$50,000.00 ",HVAC / Interior Rehab / Façade Renovation
Copernicus Foundation,5216 W Lawrence,T-057,Jefferson Park Business District,1/1/03,"$100,000.00 ","$50,000.00 ",renovations
Value Transmission Inc,5434 W Higgins,T-057,Jefferson Park Business District,1/4/02,"$96,771.00 ","$48,385.50 ","Tuckpointing, Façade, Window replacement, Front door, Roof, Sign"
The Windsor Tavern,4530 N Milwaukee,T-057,Jefferson Park,9/28/11,"$48,854.68 ","$23,427.34 ","drywall, security, awning, lighting, sign, trellis extension?, door opening, garage roof"
Villa Roma Hair Designers,3936 N Cicero,T-058,Portage Park,7/18/11,"$22,000.00 ","$16,500.00 ","floor, update work station, electrical, plumbing, doors,"
Polonia Home Health Care Center,4220 N Milwaukee,T-058,Portage Park,3/29/11,"$34,901.07 ","$17,988.85 ","deck, masonry, electrical, HVAC, interior renovations"
Midwest Screw Products ,3523 N Kenton,T-058,Portage Park,1/11/11,"$74,848.50 ","$37,424.25 ","roofing, security system, different area of roofing,"
Chester Kiercul,4250 N Milwaukee,T-058,Portage Park,10/29/10,"$8,450.00 ","$4,225.00 ",Storefront
True Value Hardware,4305-07 N Milwaukee,T-058,Portage Park,10/29/10,"$42,075.00 ","$20,487.50 ","storefront, doors, windows, double door glass panels, brick foundation"
Midwest Screw Products ,3523 N Kenton,T-058,Portage Park,4/15/10,"$110,942.66 ","$55,471.33 ","loading dock, dock door, floor, electric, roof, skylights, security system"
Midwest Screw Products ,3523 N Kenton,T-058,Portage Park,3/15/10,"$90,349.24 ","$45,174.62 ","loading dock, dock door, floor, electric, roof, skylights, security system"
Villa Roma Hair Designers,3936 N Cicero,T-058,Portage Park,12/3/08,"$6,000.00 ","$4,500.00 ",Parking lot paving
Artemios Tacos ,4918 W Irving Park,T-058,Portage Park,8/12/08,"$13,650.00 ","$6,825.00 ","façade renovation, interior renovation, sigage, roofing, sewer repair"
Dusan D Surovy,4251-57 N Milwaukee,T-058,Portage Park,4/20/08,"$60,585.00 ","$30,200.00 ","Storefront, paved parking lot, HVAC, masonry, tuck pointing, iron fence"
Villa Roma Hair Designers,3936 N Cicero,T-058,Portage Park,4/18/08,"$3,060.00 ","$2,295.00 ",tuckpointing
Villa Roma Hair Designers,3936 N Cicero,T-058,Portage Park,4/18/08,"$30,650.00 ","$22,987.50 ",tuckpointing
Villa Roma Hair Designers,3936 N Cicero,T-058,Portage Park,4/18/08,"$5,900.00 ","$4,425.00 ",tuckpointing
Benjamin Turcuato United Rehab Center PC,4257 N Milwaukee,T-058,Portage Park,4/17/08,"$66,500.00 ","$19,800.00 ","plumbing, electrical, wall, ceilings, bathrooms, buildoutcabinets, countertop"
Las Tablas ,4920 W Irving Park,T-058,Portage Park,12/13/07,"$39,937.00 ","$19,968.50 ","Flooring, Windows, Electrical, Kitchen repair"
Bark Out Loud,5232 W Irving Park,T-058,Portage Park,11/29/07,"$71,640.00 ","$50,000.00 ","Façade, Windows, Electric, interior renovations, sprikler system, flooring"
Logan Square Dental Service ,3946 N Cicero Av,T-058,Portage Park,8/24/07,"$67,500.00 ","$34,050.00 ","Storefront, masonry, windows, electrical"
Farlow Development,4222-24 N Milwaukee,T-058,Portage Park,9/18/06,"$97,671.00 ","$50,000.00 ",major renovations
Jessica Park,5052-56 W Irving Park Rd,T-058,Portage Park,9/18/06,"$110,450.00 ","$50,000.00 ","storefront, sign & awning, roofing, tuckpointing"
Portage Theatre Management I ,4050 N Milwaukee,T-058,Portage Park,9/1/06,"$46,762.93 ","$23,381.47 ","Stage expasion, hvac, fire box"
Vincent Gerage,5050 W Irving Park,T-058,Portage Park,2/15/06,"$18,836.00 ","$11,805.75 ","Roof, parapet"
Northwest Paper Co Joe,5419 W Patterson,T-058,Portage Park,7/6/05,"$40,205.00 ","$31,373.80 ",Roof
George Salinas Galaxy,4252 N Milwaukee,T-058,Portage Park,6/22/04,"$95,000.00 ","$49,116.65 ","Interior Renovations, Flooring, Dry wall, Windows, Store Front"
Reb Steele Corporation,4556 W Grand,T-064,Northwest Industrial Corridor,5/13/11,"$46,970.00 ","$23,485.00 ",
Big City Properties,4318 W Carrol,T-064,Northwest Industrial Corridor,4/14/11,"$19,950.00 ","$9,975.00 ","fire pump feeders, asbestos removal"
Chicago Turnrite,4459 W Lake,T-064,Northwest Industrial Corridor,3/29/11,"$275,515.00 ","$112,528.00 ",Exterior Facad and Roofing
Reb Steele Corporation,4556 W Grand,T-064,Northwest Industrial Corridor,12/23/10,"$28,633.20 ","$14,316.60 ","lighting retrofit,"
Chicago Turnrite,4459 W Lake,T-064,Northwest Industrial Corridor,11/1/10,"$74,945.00 ","$37,472.50 ",Exterior Facad and Roofing
Bumper City,821 N Cicero,T-064,Northwest Industrial Corridor,10/29/10,"$10,794.97 ","$5,397.00 ","tuckpointing bathrooms, iron fence, parking lot paving, sidewalk, stair and stoop from parking lot"
HydroAire Inc,1238 N Kostner,T-064,Northwest Industrial Corridor,6/30/10,"$19,965.00 ","$9,847.00 ",Underground storage tank removal
Chicago Architechtual Metals,4744-46 W Rice,T-064,Northwest Industrial Corridor,5/11/10,"$428,481.00 ","$150,000.00 ","roof, windows, masonry, HVAC, electrical, carpentry, ADA Elevator"
1031 Hans LLC,1031-33 N Cicero,T-064,Northwest Industrial Corridor,3/15/10,"$533,355.00 ","$150,000.00 ","sprinkler system, electrical, plumbing, tuckpoiting, interior, roof, paving, fence, signage"
Damron Corp ,4433 W Ohio,T-064,Northwest Industrial Corridor,3/1/10,"$154,825.00 ","$59,675.00 ",raw material production efficiency system
Midway Cap Merle Sbertoli,4513 W Armitage,T-064,Northwest Industrial Corridor,12/11/09,"$41,562.00 ","$20,781.00 ","windows, lintels, flashing"
4545 W Armitage Inc dba A&D Candy,4545 W Armitage,T-064,Northwest Industrial Corridor,6/24/09,"$370,000.00 ","$150,000.00 ",Purchase Adjacent land
Bearings Mfg Co ,1033 N Kolmar,T-064,Northwest Industrial Corridor,5/29/09,"$68,178.00 ","$34,089.00 ",roof
Treatment Products Ltd Charles E Victor,4701 W Augusta,T-064,Northwest Industrial Corridor,3/19/09,"$7,312.00 ","$3,656.00 ","Electric Fence, insulated loading dock doors"
Addison Pipe & Tube Co ,355 N Lavergne,T-064,Northwest Industrial Corridor,10/20/08,"$217,853.53 ","$102,249.50 ","roofing, fencing, flooring, siding repair, parking"
Chromium Industries Inc ,4645 W Chicago,T-064,Northwest Industrial Corridor,10/7/08,"$105,550.00 ","$50,000.00 ",roofing
HydroAire Inc,1238 N Kostner,T-064,Northwest Industrial Corridor,8/18/08,"$41,514.00 ","$20,757.00 ",Cranes
Addison Pipe & Tube Co ,355 N Lavergne,T-064,Northwest Industrial Corridor,4/17/08,"$282,000.00 ","$27,411.50 ","roofing, fencing, flooring, siding repair, parking"
Addison Pipe & Tube Co ,355 N Lavergne,T-064,Northwest Industrial Corridor,4/17/08,"$40,678.00 ","$20,339.00 ","roofing, fencing, flooring, siding repair, parking"
HydroAire Inc,1238 N Kostner,T-064,Northwest Industrial Corridor,1/2/08,"$32,800.00 ","$16,400.00 ","Roof, HVAC, electrical, parking lot, sewers,"
L & M Welding Co,4619 W Armitage,T-064,Northwest Industrial Corridor,7/23/07,"$111,005.00 ","$50,000.00 ","Masonry, windows, electrical & plumbing, drywall"
Am Sewing Dynamics,4534 W North,T-064,Northwest Industrial Corridor,4/26/07,"$100,000.00 ","$50,000.00 ","roof, façade, parking lot, HVAC, electrical, awning"
Golden Foods,1036 N Kilbourn,T-064,Northwest Industrial Corridor,10/18/06,"$39,315.00 ","$19,500.00 ",Tuckpointing / Windows / Skilights / Freezer / HVAC
TEC Foods Inc ,4300 W Ohio,T-064,Northwest Industrial Corridor,8/8/06,"$50,000.00 ","$35,709.00 ","ADA Compliance, perm lanscaping, parking lot curbs"
Top of the Line,4717-23 W Chicago,T-064,Northwest Industrial Corridor,6/21/06,"$102,000.00 ","$50,000.00 ","roof, I-Beam work, garage doors, wrought iron fencing"
Brite Site,4616 W Fullerton,T-064,Northwest Industrial Corridor,11/22/05,"$100,000.00 ","$50,000.00 ",Roof / HVAC / Windows / Signage / Tuckpoint
Mastercraft Metal Spinning,4141 W Kinzie,T-064,Northwest Industrial Corridor,1/14/05,"$27,480.00 ","$13,740.00 ","Roof, Gutter, Front door"
Ted Barabas,4451 W Kinzie,T-064,Northwest Industrial Corridor,12/28/04,"$100,000.00 ","$50,000.00 ",adjacent property acquisition
Am Sewing Dynamics,4534 W North,T-064,Northwest Industrial Corridor,9/14/04,"$97,000.00 ","$50,000.00 ",Façade improvements / parking / sidewalks / Interior Renovations
Northwest Crankshaft Inc,4714 Walton,T-064,Northwest Industrial Corridor,5/17/04,"$20,350.20 ","$10,175.10 ","Overhead door, exterior concrete work"
Golden Foods,1036 N Kilbourn,T-064,Northwest Industrial Corridor,4/6/04,"$60,685.00 ","$30,342.50 ",Tuckpointing / Windows / Skilights / Freezer / HVAC
Mercury Plastics,4535 W Fullerton,T-064,NW Ind,9/29/11,"$12,270.00 ","$6,135.00 ","electrical, windows"
Parkland Properties LLC,4201-03 W North ,T-069,Pulaski Corridor,8/16/11,"$32,830.00 ","$24,622.50 ",New Ceiling & Lighting in Bedroom and Furniture Roof Tear Off & Industrial Rubber Roof New Commerclai Floor New Furnace Install New Center Door Facade
Progressive Industries Inc,2733 N Pulaski,T-069,Pulaski Corridor,6/24/11,"$73,616.13 ","$36,808.07 ","Expansion, build-out"
Harbro Packaging Company,2635 N Kildare,T-069,Pulaski Corridor,6/24/11,"$64,180.00 ","$32,090.00 ",Windows Replacement
Progressive Industries Inc,2733 N Pulaski,T-069,Pulaski Corridor,5/17/11,"$160,596.57 ","$80,298.29 ",
Doshi Distributers,2323 N Pulaski Rd,T-069,Pulaski Corridor,3/31/11,"$92,860.00 ","$51,073.00 ",Front Entrance Door Rear Dock & Parking Camera Tuck Pointing
M & M Box Partition Co,4141 W Grand,T-069,Pulaski Corridor,3/1/11,"$66,341.00 ","$33,170.50 ","boiler, roof,"
Marc Barney,4200 W Wrightwood,T-069,Pulaski Corridor,2/4/11,"$19,600.00 ","$14,700.00 ","flashing, downspouts, fence, cover windows, redirect electric pipes"
Marc Barney,4200 W Wrightwood,T-069,Pulaski Corridor,8/16/10,"$19,199.00 ","$9,599.50 ",paving
Bearse Manufacturing Inc,3815 W Cortland,T-069,Pulaski Corridor,6/19/10,"$30,752.00 ","$15,262.50 ","shipping dock area; concrete, new ramps, raise height of door, electrical"
Laystrom Manufacturing Co ,3900 W Palmer,T-069,Pulaski Corridor,3/19/10,"$38,967.00 ","$19,483.00 ","windows, roof, deck,. Drains, and walls"
Laystrom Manufacturing Co ,3900 W Palmer,T-069,Pulaski Corridor,12/11/09,"$33,300.00 ","$16,650.00 ",windows
TECA ThermoElectric Cooling America ,4048 W Schubert,T-069,Pulaski Corridor,10/19/09,"$37,840.41 ","$18,920.21 ","painting, trimming, tuckpointing, parapet walls, lintels, electrical"
Marc Barney,4200 W Wrightwood,T-069,Pulaski Corridor,9/30/09,"$12,000.00 ","$6,000.00 ","Landscaping,"
Marc Barney,4200 W Wrightwood,T-069,Pulaski Corridor,5/8/09,"$149,000.00 ","$74,500.00 ",roof
C & K Fashions,4012 W North,T-069,Pulaski Corridor,12/10/08,"$30,950.00 ","$15,475.00 ","HVAC, Roofing"
Doshi Distributers,2323 N Pulaski Rd,T-069,Pulaski Corridor,10/24/08,"$53,150.00 ","$26,575.00 ","electrical service, hvac, storefront, parking"
Doshi Distributers,2323 N Pulaski Rd,T-069,Pulaski Corridor,10/24/08,"$48,000.00 ","$23,425.00 ","electrical service, hvac, storefront, parking"
Payless Fashion House ,4021 W North,T-069,Pulaski Corridor,4/28/08,"$20,790.00 ","$10,395.00 ","Storefront, windows"
C & K Fashions,4012 W North,T-069,Pulaski Corridor,7/25/07,"$24,204.03 ","$9,352.02 ","Replace windows, doors, tuckpoint"
Vogel Industries Inc DBA DeCardy Diecasting,3935 W Shakespeare,T-069,Pulaski Industrial,9/28/11,"$175,000.00 ","$85,492.43 ",new chilled water piping and gravity return pit to collect return water and re-use
Progressive Industries Inc,2733 N Pulaski,T-069,Pulaski Industrial,10/19/11,"$73,616.13 ","$32,893.65 ","refurbishment of existing office space, lunchroom, and restrooms, steel work, flooring, electrical, plumbing, lumber materials, heating and air, drywall, painting, cabinets/countertops, windows, doors, finish carpentry, and stairs"
Pronto Roma Inc,5022 N Clark,T-070,Clark/Montrose,4/23/10,"$85,000.00 ","$42,500.00 ",Interior renovations
The Wooden Spoon,5047 N Clark,T-070,Clark/Montrose,3/17/10,"$281,234.55 ","$133,354.00 ","Roof, tuckpoiting, repair porch, build deck, storage locker, windows, garden on roof, cabinets, wine/beer storage"
Pronto Roma Inc,5022 N Clark,T-070,Clark/Montrose,1/26/10,"$48,000.00 ","$24,000.00 ","Interior renovations, flooring"
Pronto Roma Inc,5022 N Clark,T-070,Clark/Montrose,12/3/09,"$118,466.51 ","$59,233.26 ","façade, tuck-pointing, roof, windows"
The Wooden Spoon,5047 N Clark,T-070,Clark/Montrose,3/6/07,"$135,100.00 ","$50,000.00 ",Exterior / renovate garage
Anna Maria Pasteria,4400 N Clark,T-070,Clark/Montrose,8/3/05,"$100,000.00 ","$50,000.00 ",Tuckpoint / Exterior / Interior
Exotic Creations Inc ,4645-4647 N Clark,T-070,Clark/Montrose,5/13/04,"$8,120.00 ","$4,060.00 ",Interior / Façade / HVAC
Information Technical Institute ,4414 N Clark,T-070,Clark/Montrose,2/3/04,"$68,000.00 ","$34,726.06 ",Signage / Roof / HVAC
La Donna ,5146 N Clark,T-070,Clark/Montrose,5/30/03,"$100,000.00 ","$50,000.00 ",Façade / Landscaping-Fence / Interior /
